resp_flag,GEND,AART,ADBT,ADEP,AHBP,AHCH,ARES,AHRT,ADGS,AHRL,AVIS,BANK,FINI,INLI,INMEDI,INVE,IOLP,ONLA,SGFA,SGLL,SGOE,SGSE,SGTC,NOC19,NAH19,age,c210apvt,c210b200,c210blu,c210bpvt,c210cip,c210ebi,c210hmi,c210hva,c210kses,c210mah,c210mob,c210mys,c210pdv,c210pmr,c210poo,c210psu,c210pwc,c210wht,ilor,meda,pdpe,tins,zhip19
,M,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,Y,N,N,N,N,N,0,1,70,93,64,6,7,61,47,59,193,92,,0,6,22,28,17,9,11,87,7,,78,3,1
,F,N,N,,Y,Y,N,N,Y,,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,0,0,71,98,56,9,2,95,75,95,222,109,,0,6,9,63,58,64,37,82,7,38,78,4,0
,F,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,0,1,76,98,0,16,2,56,47,54,140,79,,0,4,18,40,92,99,24,58,14,49,54,10,1
